"school_name","year","impact","impact_recovery_category"
"Aina Haina Elementary",2019,0,"No Category"
"Ala Wai Elementary",2019,0,"No Category"
"Aliiolani Elementary",2019,0,"No Category"
"Central Middle",2019,0,"Minimal Impact/Large Recovery"
"Sanford B. Dole Middle",2019,0,"No Category"
"Joseph J. Fern Elementary",2019,0,"No Category"
"Hahaione Elementary",2019,0,"No Category"
"Hokulani Elementary",2019,0,"No Category"
"William P. Jarrett Middle",2019,0,"No Category"
"Thomas Jefferson Elementary",2019,0,"No Category"
"Queen Kaahumanu Elementary",2019,0,"No Category"
"Kaewai Elementary",2019,0,"No Category"
"Kahala Elementary",2019,0,"No Category"
"Kaimuki Middle",2019,0,"No Category"
"Princess Victoria Kaiulani Elementary",2019,0,"No Category"
"King David Kalakaua Middle",2019,0,"No Category"
"Kalihi Elementary",2019,0,"No Category"
"Kalihi-kai Elementary",2019,0,"No Category"
"Kalihi-uka Elementary",2019,0,"No Category"
"Kalihi-waena Elementary",2019,0,"No Category"
"Kapalama Elementary",2019,0,"No Category"
"Kauluwela Elementary",2019,0,"No Category"
"Prince David Kawananakoa Middle",2019,0,"No Category"
"Koko Head Elementary",2019,0,"No Category"
"Prince Jonah Kuhio Elementary",2019,0,"No Category"
"Lanakila Elementary",2019,0,"No Category"
"King Liholiho Elementary",2019,0,"No Category"
"Princess Miriam K. Likelike Elementary",2019,0,"No Category"
"Abraham Lincoln Elementary",2019,0,"No Category"
"King William Lunalilo Elementary",2019,0,"No Category"
"Maemae Elementary",2019,0,"No Category"
"Manoa Elementary",2019,0,"No Category"
"Niu Valley Middle",2019,0,"No Category"
"Noelani Elementary",2019,0,"No Category"
"Nuuanu Elementary",2019,0,"No Category"
"Palolo Elementary",2019,0,"No Category"
"Pauoa Elementary",2019,0,"No Category"
"Puuhale Elementary",2019,0,"No Category"
"Royal Elementary",2019,0,"No Category"
"Robert Louis Stevenson Middle",2019,0,"No Category"
"Waikiki Elementary",2019,0,"Large Impact/Poor Recovery"
"George Washington Middle",2019,0,"No Category"
"John H. Wilson Elementary",2019,0,"No Category"
"Kamiloiki Elementary",2019,0,"No Category"
"Aiea Elementary",2019,0,"No Category"
"Aiea Intermediate",2019,0,"Large Impact/Poor Recovery"
"Aliamanu Elementary",2019,0,"No Category"
"Aliamanu Middle",2019,0,"No Category"
"Haleiwa Elementary",2019,0,"No Category"
"Daniel K. Inouye Elementary",2019,0,"No Category"
"Helemano Elementary",2019,0,"No Category"
"Horace Meek Hickam Elementary",2019,0,"No Category"
"Iliahi Elementary",2019,0,"No Category"
"Kaala Elementary",2019,0,"Large Impact/Large Recovery"
"Kipapa Elementary",2019,0,"No Category"
"Makalapa Elementary",2019,0,"No Category"
"Moanalua Elementary",2019,0,"No Category"
"Moanalua Middle",2019,0,"No Category"
"Mokulele Elementary",2019,0,"No Category"
"Chester W. Nimitz Elementary",2019,0,"No Category"
"Pearl Harbor Elementary",2019,0,"No Category"
"Pearl Harbor Kai Elementary",2019,0,"No Category"
"Red Hill Elementary",2019,0,"No Category"
"Samuel K. Solomon Elementary",2019,0,"No Category"
"Alvah A. Scott Elementary",2019,0,"No Category"
"William R. Shafter Elementary",2019,0,"No Category"
"Wahiawa Elementary",2019,0,"No Category"
"Wahiawa Middle",2019,0,"No Category"
"Waialua Elementary",2019,0,"No Category"
"Waialua High & Intermediate",2019,0,"No Category"
"Waimalu Elementary",2019,0,"No Category"
"Mililani Waena Elementary",2019,0,"No Category"
"Gustav H. Webling Elementary",2019,0,"No Category"
"Major Sheldon Wheeler Elementary",2019,0,"No Category"
"Major Sheldon Wheeler Middle",2019,0,"No Category"
"Mililani Middle",2019,0,"No Category"
"Salt Lake Elementary",2019,0,"No Category"
"Mililani Ike Elementary",2019,0,"No Category"
"Mililani Mauka Elementary",2019,0,"No Category"
"Mililani Uka Elementary",2019,0,"No Category"
"Pearl Ridge Elementary",2019,0,"No Category"
"August Ahrens Elementary",2019,0,"No Category"
"Barbers Point Elementary",2019,0,"No Category"
"Ewa Elementary",2019,0,"No Category"
"Ewa Beach Elementary",2019,0,"No Category"
"Highlands Intermediate",2019,0,"No Category"
"Iroquois Point Elementary",2019,0,"No Category"
"Maili Elementary",2019,0,"No Category"
"Makaha Elementary",2019,0,"Large Impact/Large Recovery"
"Makakilo Elementary",2019,0,"Large Impact/Large Recovery"
"Manana Elementary",2019,0,"No Category"
"Nanaikapono Elementary",2019,0,"Large Impact/Poor Recovery"
"Nanakuli Elementary",2019,0,"No Category"
"Nanakuli High & Intermediate",2019,0,"No Category"
"Palisades Elementary",2019,0,"No Category"
"Pearl City Elementary",2019,0,"No Category"
"Pearl City Highlands Elementary",2019,0,"No Category"
"Lehua Elementary",2019,0,"No Category"
"Pohakea Elementary",2019,0,"No Category"
"Waianae Elementary",2019,0,"No Category"
"Leihoku Elementary",2019,0,"No Category"
"Waianae Intermediate",2019,0,"No Category"
"Waipahu Elementary",2019,0,"Large Impact/Large Recovery"
"Honowai Elementary",2019,0,"No Category"
"Waipahu Intermediate",2019,0,"No Category"
"Ilima Intermediate",2019,0,"No Category"
"Holomua Elementary",2019,0,"No Category"
"Kaimiloa Elementary",2019,0,"No Category"
"Kapolei Elementary",2019,0,"No Category"
"Kanoelani Elementary",2019,0,"No Category"
"Momilani Elementary",2019,0,"No Category"
"Mauka Lani Elementary",2019,0,"Large Impact/Poor Recovery"
"Kaleiopuu Elementary",2019,0,"No Category"
"Waiau Elementary",2019,0,"No Category"
"Waikele Elementary",2019,0,"No Category"
"Kapolei Middle",2019,0,"No Category"
"Hookele Elementary School",2019,0,"No Category"
"Keoneula Elementary",2019,0,"No Category"
"Ewa Makai Middle School",2019,0,"No Category"
"Aikahi Elementary",2019,0,"No Category"
"Enchanted Lake Elementary",2019,0,"No Category"
"Hauula Elementary",2019,0,"No Category"
"Heeia Elementary",2019,0,"No Category"
"Kahaluu Elementary",2019,0,"No Category"
"Kahuku High and Intermediate",2019,0,"No Category"
"Kailua Elementary",2019,0,"No Category"
"Kailua Intermediate",2019,0,"No Category"
"Kainalu Elementary",2019,0,"No Category"
"Kaneohe Elementary",2019,0,"No Category"
"Kapunahala Elementary",2019,0,"No Category"
"Samuel Wilder King Intermediate",2019,0,"No Category"
"Laie Elementary",2019,0,"No Category"
"Maunawili Elementary",2019,0,"No Category"
"Mokapu Elementary",2019,0,"No Category"
"Benjamin Parker Elementary",2019,0,"No Category"
"Blanche Pope Elementary",2019,0,"No Category"
"Sunset Beach Elementary",2019,0,"No Category"
"Waimanalo Elementary & Intermediate",2019,0,"No Category"
"Kaelepulu Elementary",2019,0,"No Category"
"Kahuku Elementary",2019,0,"No Category"
"Ahuimanu Elementary",2019,0,"No Category"
"Ernest Bowen de Silva Elementary",2019,0,"No Category"
"Haaheo Elementary",2019,0,"No Category"
"Keaau Elementary",2019,0,"No Category"
"Hilo Intermediate",2019,0,"No Category"
"Hilo Union Elementary",2019,0,"No Category"
"Holualoa Elementary",2019,0,"No Category"
"Honaunau Elementary",2019,0,"No Category"
"Honokaa High and Intermediate",2019,0,"No Category"
"Honokaa Elementary",2019,0,"No Category"
"Kalanianaole Elementary and Intermediate",2019,0,"No Category"
"Kohala Middle",2019,0,"No Category"
"Chiefess Kapiolani Elementary",2019,0,"No Category"
"Kau High & Pahala Elementary",2019,0,"No Category"
"Kaumana Elementary",2019,0,"No Category"
"Keaau Middle",2019,0,"No Category"
"Kahakai Elementary",2019,0,"No Category"
"Keaukaha Elementary",2019,0,"No Category"
"Konawaena Elementary",2019,0,"No Category"
"Konawaena Middle",2019,0,"No Category"
"Mountain View Elementary",2019,0,"Large Impact/Large Recovery"
"Naalehu Elementary",2019,0,"No Category"
"Pahoa Elementary",2019,0,"No Category"
"Pahoa High & Intermediate",2019,0,"No Category"
"Waiakea Elementary",2019,0,"No Category"
"Waiakea Intermediate",2019,0,"No Category"
"Waiakeawaena Elementary",2019,0,"No Category"
"Waimea Elementary",2019,0,"No Category"
"Kealakehe Elementary",2019,0,"No Category"
"Kealakehe Intermediate",2019,0,"No Category"
"Keonepoko Elementary",2019,0,"No Category"
"Waikoloa Elementary and Middle",2019,0,"No Category"
"Kohala Elementary",2019,0,"No Category"
"Haiku Elementary",2019,0,"No Category"
"Iao Intermediate",2019,0,"No Category"
"Kahului Elementary",2019,0,"Large Impact/Large Recovery"
"King Kamehameha III Elementary",2019,0,"No Category"
"Kaunakakai Elementary",2019,0,"No Category"
"Kihei Elementary",2019,0,"Large Impact/Poor Recovery"
"Kula Elementary",2019,0,"No Category"
"Lahaina Intermediate",2019,0,"No Category"
"Lanai High & Elementary",2019,0,"No Category"
"Lihikai Elementary",2019,0,"No Category"
"Makawao Elementary",2019,0,"No Category"
"Samuel Enoka Kalama Intermediate",2019,0,"No Category"
"Paia Elementary",2019,0,"No Category"
"Waihee Elementary",2019,0,"No Category"
"Wailuku Elementary",2019,0,"No Category"
"Pukalani Elementary",2019,0,"No Category"
"Maui Waena Intermediate",2019,0,"No Category"
"Princess Nahienaena Elementary",2019,0,"No Category"
"Lokelani Intermediate",2019,0,"Large Impact/Poor Recovery"
"Kamalii Elementary",2019,0,"No Category"
"Pomaikai Elementary School",2019,0,"No Category"
"Molokai Middle",2019,0,"No Category"
"Pu'u Kukui Elementary",2019,0,"No Category"
"Kapaa Middle",2019,0,"No Category"
"Chiefess Kamakahelei Middle",2019,0,"No Category"
"Eleele Elementary",2019,0,"No Category"
"Hanalei Elementary",2019,0,"No Category"
"Kalaheo Elementary",2019,0,"No Category"
"Kapaa Elementary",2019,0,"No Category"
"King Kaumualii Elementary",2019,0,"No Category"
"Kekaha Elementary",2019,0,"No Category"
"Kilauea Elementary",2019,0,"No Category"
"Koloa Elementary",2019,0,"Large Impact/Poor Recovery"
"Elsie H. Wilcox Elementary",2019,0,"No Category"
"Waimea Canyon Middle",2019,0,"No Category"
"Waialae Elementary PCS",2019,0,"No Category"
"Kamaile Academy PCS",2019,0,"No Category"
"Kaohao Public Charter School",2019,0,"No Category"
"Waimea Middle PCCS",2019,0,"No Category"
"Connections NCPCS",2019,0,"No Category"
"Kanu o ka 'Aina NCPCS",2019,0,"No Category"
"West Hawaii Explorations Academy PCS",2019,0,"No Category"
"Kualapu'u Elementary NCPCCS",2019,0,"No Category"
"Voyager PCS",2019,0,"No Category"
"Myron B. Thompson Academy NCPCS",2019,0,"No Category"
"Ka Waihona o ka Na'auao NCPCS",2019,0,"No Category"
"Innovations PCS",2019,0,"No Category"
"Malama Honua Public Charter School",2019,0,"No Category"
"Hawaii Technology Academy PCS",2019,0,"No Category"
"Kamalani Academy PCS",2019,0,"No Category"
"Kihei Charter School",2019,0,"No Category"
"Alaka'i O Kaua'i",2019,0,"No Category"
"The Volcano School of Arts & Sciences",2019,0,"No Category"
"Hawaii Academy of Arts and Science PCS",2019,0,"No Category"
"School for Examining Essential Questions of Sustainability",2019,0,"No Category"
"Aina Haina Elementary",2021,-2.14,"No Category"
"Ala Wai Elementary",2021,-14.95,"No Category"
"Aliiolani Elementary",2021,,"No Category"
"Central Middle",2021,-2.7,"Minimal Impact/Large Recovery"
"Sanford B. Dole Middle",2021,-9.58,"No Category"
"Joseph J. Fern Elementary",2021,-14.78,"No Category"
"Hahaione Elementary",2021,-7.19,"No Category"
"Hokulani Elementary",2021,6.21,"No Category"
"William P. Jarrett Middle",2021,-9.86,"No Category"
"Thomas Jefferson Elementary",2021,-8.08,"No Category"
"Queen Kaahumanu Elementary",2021,-22.68,"No Category"
"Kaewai Elementary",2021,-17.48,"No Category"
"Kahala Elementary",2021,-24.84,"No Category"
"Kaimuki Middle",2021,-6.09,"No Category"
"Princess Victoria Kaiulani Elementary",2021,-13.11,"No Category"
"King David Kalakaua Middle",2021,-23.23,"No Category"
"Kalihi Elementary",2021,,"No Category"
"Kalihi-kai Elementary",2021,-31.1,"No Category"
"Kalihi-uka Elementary",2021,,"No Category"
"Kalihi-waena Elementary",2021,-39,"No Category"
"Kapalama Elementary",2021,-15.46,"No Category"
"Kauluwela Elementary",2021,-14.95,"No Category"
"Prince David Kawananakoa Middle",2021,-20.95,"No Category"
"Koko Head Elementary",2021,-8.49,"No Category"
"Prince Jonah Kuhio Elementary",2021,,"No Category"
"Lanakila Elementary",2021,-19.1,"No Category"
"King Liholiho Elementary",2021,-39.82,"No Category"
"Princess Miriam K. Likelike Elementary",2021,,"No Category"
"Abraham Lincoln Elementary",2021,,"No Category"
"King William Lunalilo Elementary",2021,-20.5,"No Category"
"Maemae Elementary",2021,-8.85,"No Category"
"Manoa Elementary",2021,-5.21,"No Category"
"Niu Valley Middle",2021,-14.94,"No Category"
"Noelani Elementary",2021,-20.54,"No Category"
"Nuuanu Elementary",2021,7.12,"No Category"
"Palolo Elementary",2021,-47.46,"No Category"
"Pauoa Elementary",2021,,"No Category"
"Puuhale Elementary",2021,,"No Category"
"Royal Elementary",2021,-21.75,"No Category"
"Robert Louis Stevenson Middle",2021,-9.89,"No Category"
"Waikiki Elementary",2021,-22.16,"Large Impact/Poor Recovery"
"George Washington Middle",2021,-9.47,"No Category"
"John H. Wilson Elementary",2021,-5.03,"No Category"
"Kamiloiki Elementary",2021,-14.99,"No Category"
"Aiea Elementary",2021,,"No Category"
"Aiea Intermediate",2021,-27.41,"Large Impact/Poor Recovery"
"Aliamanu Elementary",2021,-10.63,"No Category"
"Aliamanu Middle",2021,2.28,"No Category"
"Haleiwa Elementary",2021,,"No Category"
"Daniel K. Inouye Elementary",2021,-11.02,"No Category"
"Helemano Elementary",2021,-28.33,"No Category"
"Horace Meek Hickam Elementary",2021,1.22,"No Category"
"Iliahi Elementary",2021,-34.76,"No Category"
"Kaala Elementary",2021,-26.91,"Large Impact/Large Recovery"
"Kipapa Elementary",2021,-14,"No Category"
"Makalapa Elementary",2021,-12.69,"No Category"
"Moanalua Elementary",2021,-0.63,"No Category"
"Moanalua Middle",2021,-16.21,"No Category"
"Mokulele Elementary",2021,,"No Category"
"Chester W. Nimitz Elementary",2021,-11.26,"No Category"
"Pearl Harbor Elementary",2021,-3.36,"No Category"
"Pearl Harbor Kai Elementary",2021,-10.41,"No Category"
"Red Hill Elementary",2021,-11.76,"No Category"
"Samuel K. Solomon Elementary",2021,-18.93,"No Category"
"Alvah A. Scott Elementary",2021,-14.19,"No Category"
"William R. Shafter Elementary",2021,-38.38,"No Category"
"Wahiawa Elementary",2021,-20.56,"No Category"
"Wahiawa Middle",2021,-11.15,"No Category"
"Waialua Elementary",2021,-18.56,"No Category"
"Waialua High & Intermediate",2021,-8.9,"No Category"
"Waimalu Elementary",2021,-6.69,"No Category"
"Mililani Waena Elementary",2021,-12.19,"No Category"
"Gustav H. Webling Elementary",2021,-24.82,"No Category"
"Major Sheldon Wheeler Elementary",2021,-10.17,"No Category"
"Major Sheldon Wheeler Middle",2021,-20.63,"No Category"
"Mililani Middle",2021,-12.82,"No Category"
"Salt Lake Elementary",2021,-30.8,"No Category"
"Mililani Ike Elementary",2021,-1.96,"No Category"
"Mililani Mauka Elementary",2021,-10.37,"No Category"
"Mililani Uka Elementary",2021,-29.16,"No Category"
"Pearl Ridge Elementary",2021,-1.87,"No Category"
"August Ahrens Elementary",2021,-19.6,"No Category"
"Barbers Point Elementary",2021,-10.59,"No Category"
"Ewa Elementary",2021,-18.92,"No Category"
