"school_name","year","impact","impact_recovery_category"
"School 0013",2019,0,
"School 0020",2019,0,
"School 0033",2019,0,
"School 0037",2019,0,
"School 0017",2019,0,
"School 0025",2019,0,
"School 0045",2019,0,
"School 0046",2019,0,
"School 0063",2019,0,
"School 0064",2019,0,
"School 0067",2019,0,
"School 0068",2019,0,
"School 0071",2019,0,
"School 0072",2019,0,
"School 0079",2019,0,
"School 0087",2019,0,
"School 0089",2019,0,
"School 0090",2019,0,
"School 0092",2019,0,
"School 0094",2019,0,
"School 0095",2019,0,
"School 0096",2019,0,
"School 0107",2019,0,
"School 0118",2019,0,
"School 0119",2019,0,
"School 0121",2019,0,
"School 0125",2019,0,
"School 0126",2019,0,
"School 0127",2019,0,
"School 0128",2019,0,
"School 0129",2019,0,
"School 0133",2019,0,
"School 0134",2019,0,
"School 0136",2019,0,
"School 0137",2019,0,
"School 0154",2019,0,
"School 0157",2019,0,
"School 0162",2019,0,
"School 0164",2019,0,"Large Impact/Poor Recovery"
"School 0178",2019,0,
"School 0186",2019,0,
"School 0205",2019,0,
"School 0217",2019,0,
"School 0221",2019,0,
"School 0233",2019,0,
"School 0240",2019,0,
"School 0253",2019,0,
"School 0269",2019,0,
"School 0270",2019,0,
"School 0275",2019,0,
"School 0043",2019,0,
"School 0049",2019,0,
"School 0053",2019,0,
"School 0081",2019,0,
"School 0281",2019,0,
"School 0285",2019,0,
"School 0291",2019,0,
"School 0294",2019,0,
"School 0305",2019,0,
"School 0323",2019,0,
"School 0328",2019,0,"Large Impact/Poor Recovery"
"School 0353",2019,0,"Large Impact/Poor Recovery"
"School 0357",2019,0,
"School 0363",2019,0,
"School 0369",2019,0,
"School 0371",2019,0,
"School 0377",2019,0,
"School 0390",2019,0,
"School 0392",2019,0,
"School 0395",2019,0,
"School 0409",2019,0,
"School 0410",2019,0,
"School 0445",2019,0,
"School 0494",2019,0,
"School 0539",2019,0,
"School 0510",2019,0,
"School 0511",2019,0,
"School 0514",2019,0,
"School 0517",2019,0,
"School 0541",2019,0,
"School 0542",2019,0,
"School 0544",2019,0,
"School 0557",2019,0,
"School 0561",2019,0,
"School 0565",2019,0,
"School 0587",2019,0,
"School 0623",2019,0,"Large Impact/Poor Recovery"
"School 0629",2019,0,
"School 0609",2019,0,
