"school_name","year","impact","impact_recovery_category"
"Bloomington School (1002_102)",2019,0,"No Category"
"Paradise Canyon (1002_103)",2019,0,"Minimal Impact/Large Recovery"
"Enterprise School (1002_104)",2019,0,"Minimal Impact/Large Recovery"
"Bloomington Hills School (1002_105)",2019,0,"No Category"
"Coral Canyon School (1002_107)",2019,0,"No Category"
"Diamond Valley School (1002_108)",2019,0,"No Category"
"Coral Cliffs School (1002_110)",2019,0,"No Category"
"Arrowhead School (1002_111)",2019,0,"Large Impact/Poor Recovery"
"Hurricane School (1002_112)",2019,0,"No Category"
"Laverkin School (1002_114)",2019,0,"No Category"
"Legacy School (1002_116)",2019,0,"No Category"
"Heritage School (1002_120)",2019,0,"Minimal Impact/Large Recovery"
"Panorama School (1002_121)",2019,0,"No Category"
"Sandstone School (1002_122)",2019,0,"No Category"
"Red Mountain School (1002_123)",2019,0,"No Category"
"Santa Clara School (1002_124)",2019,0,"No Category"
"Sunset School (1002_130)",2019,0,"No Category"
"Three Falls School (1002_134)",2019,0,"No Category"
"Washington School (1002_140)",2019,0,"No Category"
"Majestic Fields School (1002_143)",2019,0,"No Category"
"Riverside School (1002_144)",2019,0,"No Category"
"Horizon School (1002_145)",2019,0,"No Category"
"Little Valley School (1002_146)",2019,0,"No Category"
"Crimson View School (1002_147)",2019,0,"No Category"
"Sunrise Ridge Intermediate (1002_303)",2019,0,"No Category"
"Tonaquint Intermediate (1002_304)",2019,0,"Minimal Impact/Large Recovery"
"Hurricane Intermediate (1002_308)",2019,0,"No Category"
"Water Canyon School (1002_318)",2019,0,"No Category"
"Desert Hills Middle (1002_403)",2019,0,"No Category"
"Dixie Middle (1002_404)",2019,0,"No Category"
"Hurricane Middle (1002_408)",2019,0,"Large Impact/Poor Recovery"
"Pine View Middle (1002_420)",2019,0,"No Category"
"Snow Canyon Middle (1002_425)",2019,0,"Large Impact/Poor Recovery"
"Water Canyon High (1002_518)",2019,0,"No Category"
"Enterprise High (1002_712)",2019,0,"No Category"
"Loa School (1042_112)",2019,0,"No Category"
"Wayne Middle (1042_302)",2019,0,"No Category"
"Bates School (1050_100)",2019,0,"No Category"
"Burch Creek School (1050_105)",2019,0,"Minimal Impact/Large Recovery"
"Country View School (1050_109)",2019,0,"No Category"
