division,date,unemployment,impact
"Bethesda-Rockville-Frederick, MD Met Div",2000,2.6,-3
"Bethesda-Rockville-Frederick, MD Met Div",2001,2.7,-2.9
"Bethesda-Rockville-Frederick, MD Met Div",2002,3.6,-2
"Bethesda-Rockville-Frederick, MD Met Div",2003,3.4,-2.2
"Bethesda-Rockville-Frederick, MD Met Div",2004,3.2,-2.4
"Bethesda-Rockville-Frederick, MD Met Div",2005,3.3,-2.3
"Bethesda-Rockville-Frederick, MD Met Div",2006,2.8,-2.8
"Bethesda-Rockville-Frederick, MD Met Div",2007,2.8,-2.8
"Bethesda-Rockville-Frederick, MD Met Div",2008,2.5,-3.1
"Bethesda-Rockville-Frederick, MD Met Div",2009,4.9,-0.7
"Bethesda-Rockville-Frederick, MD Met Div",2010,6.3,0.7
"Bethesda-Rockville-Frederick, MD Met Div",2011,5.7,0.1
"Bethesda-Rockville-Frederick, MD Met Div",2012,5.3,-0.3
"Bethesda-Rockville-Frederick, MD Met Div",2013,5.2,-0.4
"Boston-Cambridge-Quincy, MA NECTA Div",2000,2.7,-2.9
"Boston-Cambridge-Quincy, MA NECTA Div",2001,2.5,-3.1
"Boston-Cambridge-Quincy, MA NECTA Div",2002,4.6,-1
"Boston-Cambridge-Quincy, MA NECTA Div",2003,5.3,-0.3
"Boston-Cambridge-Quincy, MA NECTA Div",2004,5.1,-0.5
"Boston-Cambridge-Quincy, MA NECTA Div",2005,4.4,-1.2
"Boston-Cambridge-Quincy, MA NECTA Div",2006,4.3,-1.3
"Boston-Cambridge-Quincy, MA NECTA Div",2007,4.1,-1.5
"Boston-Cambridge-Quincy, MA NECTA Div",2008,3.9,-1.7
"Boston-Cambridge-Quincy, MA NECTA Div",2009,6.2,0.6
"Boston-Cambridge-Quincy, MA NECTA Div",2010,7.6,2
"Boston-Cambridge-Quincy, MA NECTA Div",2011,6.6,1
"Boston-Cambridge-Quincy, MA NECTA Div",2012,5.7,0.1
"Boston-Cambridge-Quincy, MA NECTA Div",2013,5.6,0
"Boston-Cambridge-Quincy, MA-NH Met NECTA",2000,2.8,-2.8
"Boston-Cambridge-Quincy, MA-NH Met NECTA",2001,2.6,-3
"Boston-Cambridge-Quincy, MA-NH Met NECTA",2002,4.9,-0.7
"Boston-Cambridge-Quincy, MA-NH Met NECTA",2003,5.6,0
"Boston-Cambridge-Quincy, MA-NH Met NECTA",2004,5.4,-0.2
"Boston-Cambridge-Quincy, MA-NH Met NECTA",2005,4.6,-1
"Boston-Cambridge-Quincy, MA-NH Met NECTA",2006,4.5,-1.1
